City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vaini,TO,2021-12-20 23:29:12,-21.2,-175.2,80.94,73,97,12.37
68,Port Blair,IN,2021-12-20 23:29:12,11.6667,92.75,73.44,88,20,1.14
69,San Joaquin,US,2021-12-20 23:29:12,37.9333,-121.3011,51.04,78,90,6.91
70,Bujaru,BR,2021-12-20 23:29:12,-1.515,-48.0447,82.42,76,100,4.09
71,Severnyy,RU,2021-12-20 23:29:13,50.677,36.5532,19.44,86,75,6.71
72,Batagay-Alyta,RU,2021-12-20 23:29:13,67.8006,130.4114,-23.85,99,100,1.81
73,Karratha,AU,2021-12-20 23:29:13,-20.7377,116.8463,85.55,61,45,8.08
74,Dikson,RU,2021-12-20 23:29:13,73.5069,80.5464,-20.09,93,100,13.18
75,Wanning,CN,2021-12-20 23:29:14,18.8003,110.3967,65.21,89,91,8.1
76,Hamilton,US,2021-12-20 23:29:14,39.1834,-84.5333,39.83,72,1,0.0
77,Salekhard,RU,2021-12-20 23:29:14,66.53,66.6019,-21.64,90,100,14.81
78,Hanzhong,CN,2021-12-20 23:29:14,33.0728,107.0303,39.07,73,0,1.72
79,Caravelas,BR,2021-12-20 23:29:15,-17.7125,-39.2481,71.69,95,13,4.92
80,Suluq,LY,2021-12-20 23:29:15,31.6682,20.2521,57.38,75,93,9.26
81,Waipawa,NZ,2021-12-20 23:29:15,-41.4122,175.5153,66.83,61,63,22.06
82,Delano,US,2021-12-20 23:29:15,35.7688,-119.247,39.65,42,100,4.52
83,Fontem,CM,2021-12-20 23:29:16,5.4685,9.8818,69.69,53,18,2.24
84,Kodiak,US,2021-12-20 23:24:43,57.79,-152.4072,35.11,80,75,4.61
85,Tura,IN,2021-12-20 23:29:16,25.5198,90.2201,55.29,69,3,4.34
86,Belaya Gora,RU,2021-12-20 23:29:16,68.5333,146.4167,-6.83,98,100,8.46
87,Georgetown,MY,2021-12-20 23:29:17,5.4112,100.3354,78.89,87,20,0.0
88,Provideniya,RU,2021-12-20 23:30:17,64.3833,-173.3,8.71,72,0,4.47
89,Mukhen,RU,2021-12-20 23:30:17,48.1,136.1,14.88,95,100,0.58
90,Kaitangata,NZ,2021-12-20 23:30:17,-46.2817,169.8464,55.27,93,80,8.28
91,Klaksvik,FO,2021-12-20 23:30:18,62.2266,-6.589,40.12,76,96,9.28
92,Beringovskiy,RU,2021-12-20 23:30:18,63.05,179.3167,0.79,96,66,4.03
93,Bagdarin,RU,2021-12-20 23:30:18,54.4333,113.6,-26.99,91,9,3.38
94,Oranjestad,AW,2021-12-20 23:30:06,12.524,-70.027,79.92,83,23,3.0
95,Qaanaaq,GL,2021-12-20 23:30:19,77.484,-69.3632,27.9,57,100,13.02
96,Fengcheng,CN,2021-12-20 23:30:19,40.4536,124.0717,25.92,55,0,6.67
97,Severo-Kurilsk,RU,2021-12-20 23:30:19,50.6789,156.125,24.31,66,98,3.69
98,Port Hardy,CA,2021-12-20 23:30:04,50.6996,-127.4199,37.76,75,40,4.61
99,Airai,TL,2021-12-20 23:30:19,-8.9266,125.4092,68.95,79,100,2.13
100,Tarakan,ID,2021-12-20 23:30:20,3.3,117.6333,76.5,94,20,3.44
101,Avarua,CK,2021-12-20 23:30:20,-21.2078,-159.775,82.45,65,20,10.36
102,Nantucket,US,2021-12-20 23:30:16,41.2835,-70.0995,33.1,73,40,4.61
103,Yellowknife,CA,2021-12-20 23:27:02,62.456,-114.3525,-32.71,74,20,2.3
104,Port Elizabeth,ZA,2021-12-20 23:30:21,-33.918,25.5701,70.11,94,75,13.8
105,Adrar,MR,2021-12-20 23:30:21,20.5022,-10.0711,70.11,30,100,4.92
106,Hithadhoo,MV,2021-12-20 23:30:21,-0.6,73.0833,82.26,72,100,3.56
107,Ostrovnoy,RU,2021-12-20 23:30:21,68.0531,39.5131,22.77,86,100,20.11
108,Broome,US,2021-12-20 23:30:22,42.2506,-75.833,33.51,66,1,4.0
109,Portland,US,2021-12-20 23:27:53,45.5234,-122.6762,46.22,94,90,3.0
110,Lyman,UA,2021-12-20 23:30:22,48.9884,37.8023,26.64,95,40,6.44
111,Tilichiki,RU,2021-12-20 23:30:22,60.4667,166.1,4.08,95,100,8.7
112,Jamestown,US,2021-12-20 23:30:14,42.097,-79.2353,36.72,68,1,1.99
113,Bolanos De Calatrava,ES,2021-12-20 23:30:23,38.9069,-3.6635,45.73,71,94,5.3
114,Handan,CN,2021-12-20 23:30:23,36.6006,114.4678,39.22,37,0,4.41
115,Lebu,CL,2021-12-20 23:30:23,-37.6167,-73.65,56.34,80,1,19.71
116,Haines Junction,CA,2021-12-20 23:30:24,60.7522,-137.5108,-2.25,78,100,0.0
117,Tiksi,RU,2021-12-20 23:30:24,71.6872,128.8694,-14.66,98,91,9.84
118,Musafirkhana,IN,2021-12-20 23:30:24,26.3667,81.8,48.67,35,56,4.45
119,Cepu,ID,2021-12-20 23:30:24,-7.1475,111.5906,75.11,96,100,1.83
120,Gilgit,PK,2021-12-20 23:30:25,35.9221,74.3087,32.54,38,95,2.48
121,Gamba,GA,2021-12-20 23:30:25,-2.65,10.0,77.07,93,100,7.27
122,Korla,CN,2021-12-20 23:30:25,41.7597,86.1469,24.51,52,100,3.33
123,Trincomalee,LK,2021-12-20 23:30:26,8.5711,81.2335,79.45,77,73,13.6
124,Cherskiy,RU,2021-12-20 23:30:26,68.75,161.3,-11.78,96,100,22.55
125,Mount Gambier,AU,2021-12-20 23:30:26,-37.8333,140.7667,60.71,88,75,16.11
126,Peace River,CA,2021-12-20 23:30:26,56.2501,-117.286,8.91,72,75,11.5
127,Aras,ES,2021-12-20 23:30:27,42.5617,-2.356,37.31,100,90,2.3
128,Upernavik,GL,2021-12-20 23:30:27,72.7868,-56.1549,33.91,63,100,8.84
129,Walvis Bay,NA,2021-12-20 23:30:27,-22.9575,14.5053,64.09,82,0,3.44
130,North Bend,US,2021-12-20 23:30:28,43.4065,-124.2243,52.92,99,90,3.44
131,Kon Tum,VN,2021-12-20 23:30:28,14.35,108.0,67.48,92,88,1.43
132,Ilulissat,GL,2021-12-20 23:30:28,69.2167,-51.1,48.22,37,100,16.11
133,Namibe,AO,2021-12-20 23:31:29,-15.1961,12.1522,69.04,72,2,7.58
134,Salaga,GH,2021-12-20 23:31:29,8.5508,-0.5188,79.11,21,4,4.5
135,Gravdal,NO,2021-12-20 23:31:29,68.1214,13.5031,35.53,74,100,13.91
136,Kropotkin,RU,2021-12-20 23:31:29,45.4375,40.5756,34.93,98,100,4.43
137,Half Moon Bay,US,2021-12-20 23:30:07,37.4636,-122.4286,58.33,70,75,3.0
138,Longyearbyen,SJ,2021-12-20 23:31:30,78.2186,15.6401,17.44,79,75,13.8
139,Pevek,RU,2021-12-20 23:31:30,69.7008,170.3133,-11.87,94,100,19.69
140,Vostok,RU,2021-12-20 23:31:30,46.4856,135.8833,14.2,95,100,2.04
141,Bayangol,RU,2021-12-20 23:31:30,50.6977,103.4656,-5.66,97,90,2.15
142,Timizart,DZ,2021-12-20 23:31:31,36.8,4.2667,47.91,73,7,4.12
143,Avera,US,2021-12-20 23:31:31,33.194,-82.5271,44.47,43,100,5.99
144,College,US,2021-12-20 23:31:31,64.8569,-147.8028,35.26,93,90,6.91
145,Champerico,GT,2021-12-20 23:31:31,14.3,-91.9167,82.35,73,30,6.33
146,Tiradentes,BR,2021-12-20 23:31:32,-21.1103,-44.1781,64.81,95,57,6.22
147,Leningradskiy,RU,2021-12-20 23:31:32,69.3833,178.4167,-16.69,74,100,12.95
148,Carnarvon,AU,2021-12-20 23:31:32,-24.8667,113.6333,77.07,65,5,17.27
149,Saint-Philippe,RE,2021-12-20 23:31:33,-21.3585,55.7679,76.55,86,92,10.51
150,Bousse,BF,2021-12-20 23:31:33,12.6606,-1.8922,69.37,19,1,9.42
151,Sisimiut,GL,2021-12-20 23:31:33,66.9395,-53.6735,39.13,59,97,18.68
152,Sergach,RU,2021-12-20 23:31:33,55.5308,45.4661,11.46,97,94,4.7
153,Samarai,PG,2021-12-20 23:31:34,-10.6167,150.6667,82.76,70,98,0.49
154,Fort Saint James,CA,2021-12-20 23:31:34,54.4333,-124.25,3.94,95,52,2.59
155,Maceio,BR,2021-12-20 23:31:34,-9.6658,-35.7353,81.84,78,40,9.22
156,Vestmannaeyjar,IS,2021-12-20 23:31:34,63.4427,-20.2734,40.03,80,17,3.04
157,Coihaique,CL,2021-12-20 23:31:35,-45.5752,-72.0662,71.55,24,0,8.05
158,Chuy,UY,2021-12-20 23:31:35,-33.6971,-53.4616,67.69,87,31,7.81
159,Khingansk,RU,2021-12-20 23:31:35,49.1167,131.1833,-7.26,98,100,3.09
160,Ambanja,MG,2021-12-20 23:31:36,-13.6833,48.45,76.42,91,89,2.51
161,East London,ZA,2021-12-20 23:31:36,-33.0153,27.9116,70.81,85,75,14.67
162,Kautokeino,NO,2021-12-20 23:28:55,69.0125,23.0412,-2.4,100,96,2.95
163,Brae,GB,2021-12-20 23:31:37,60.3964,-1.353,39.11,72,57,6.33
164,Beyneu,KZ,2021-12-20 23:31:37,45.3167,55.2,44.28,62,26,17.67
165,Lagoa,PT,2021-12-20 23:31:37,39.05,-27.9833,60.85,78,81,26.66
166,Zaysan,KZ,2021-12-20 23:31:37,47.4667,84.8667,26.01,96,100,1.25
167,Ibra,OM,2021-12-20 23:31:38,22.6906,58.5334,61.56,71,42,3.24
168,Dzilam Gonzalez,MX,2021-12-20 23:31:38,21.2833,-88.9333,73.94,93,82,4.97
169,Burnie,AU,2021-12-20 23:31:38,-41.0667,145.9167,61.95,64,32,17.27
170,Yerbogachen,RU,2021-12-20 23:31:38,61.2767,108.0108,-29.67,99,97,3.87
171,Chernyshevskiy,RU,2021-12-20 23:31:39,63.0128,112.4714,-16.58,98,100,3.04
172,Nanortalik,GL,2021-12-20 23:31:39,60.1432,-45.2371,42.58,73,51,34.72
